file,text,class
../DATASET/torgo/MC01/Session1/0094.wav,Don't ask me to carry an oily rag like that.,0
../DATASET/torgo/FC02/Session3/0658.wav,You have to expect a few bad calls.,0
../DATASET/uncommonvoice/MC12_T2_si1980_NA.wav,high so it only bounce harmlessly but loudly off a car's steel roof,0
../DATASET/uncommonvoice/MC11_T2_sx432_NA.wav,coffee is grown on steep jungle like slopes in temperate zones,0
../DATASET/torgo/MC01/Session1/0126.wav,If you destroy confidence in banks you do something to the economy he said.,0
../DATASET/uncommonvoice/FC38_T2_si1957_NA.wav,clapping spurs to the bronc he set off at a sharp canter with growing alarm,0
../DATASET/uncommonvoice/FC23_T2_sx155_NA.wav,the water contained too much chlorine and stung his eyes,0
../DATASET/torgo/MC03/Session1/0331.wav,Nothing has been done yet to take advantage of the enabling legislation.,0
../DATASET/uncommonvoice/MC11_T2_sx174_NA.wav,the haunted house was a hit due to outstanding audio visual effects,0
../DATASET/uncommonvoice/FC41_T2_sx438_NA.wav,shell shock caused by shrapnel is sometimes cured through group therapy,0
../DATASET/uncommonvoice/FC23_T2_si1039_NA.wav,he has never himself done anything for which to be hated which of us has,0
../DATASET/torgo/FC02/Session3/0102.wav,Day after day some new episode is reported.,0
../DATASET/uncommonvoice/MC12_T2_sx437_NA.wav,they used an aggressive policeman to flag thoughtless motorists,0
../DATASET/uncommonvoice/MC12_T2_si1027_NA.wav,even then if she took one step forward he could catch her,0
../DATASET/uncommonvoice/FC38_T2_si1956_NA.wav,a single kick made it spring open shuddering,0
../DATASET/uncommonvoice/MC11_T2_si1055_NA.wav,internal national responsibility now a truism need not be documented,0
../DATASET/uncommonvoice/MC11_T2_si516_NA.wav,some observers speculated that this might be his revenge on his home town,0
../DATASET/torgo/MC02/Session1/0052.wav,Twice each day he plays skillfully and with zest upon our small organ.,0
../DATASET/uncommonvoice/FC38_T2_sx174_NA.wav,the haunted house was a hit due to outstanding audio visual effects,0
../DATASET/torgo/FC02/Session3/0775.wav,Hiring the wife for one's company may win her tax-aided retirement income.,0
../DATASET/torgo/MC01/Session1/0292.wav,Swing your arm as high as you can.,0
../DATASET/torgo/MC01/Session3/0018.wav,Her position covers a number of daily tasks common to any social director.,0
../DATASET/uncommonvoice/MC11_T2_si1000_NA.wav,soon the office work claimed all her time,0
../DATASET/uncommonvoice/FC41_T2_sa2_NA.wav,don't ask me to carry an oily rag like that,0
../DATASET/torgo/MC03/Session1/0308.wav,A roll of wire lay near the wall.,0
../DATASET/torgo/FC02/Session3/0943.wav,It's hard to tell an original from a forgery.,0
../DATASET/uncommonvoice/MC12_T2_sx444_NA.wav,the toddler found a clamshell near the camp site,0
../DATASET/uncommonvoice/MC12_T2_sx426_NA.wav,a moth zig zagged along the path through otto's garden,0
../DATASET/uncommonvoice/MC12_T2_sx442_NA.wav,suburban housewives often suffer from the gab habit,0
../DATASET/uncommonvoice/FC45_T2_si530_NA.wav,his election on the other hand would unquestionably strengthen the regulars,0
../DATASET/uncommonvoice/FC12_T2_si1980_NA.wav,high so it only bounce harmlessly but loudly off a car's steel roof,0
../DATASET/uncommonvoice/FC41_T2_si1074_NA.wav,he gazed away from us as we approached,0
../DATASET/uncommonvoice/FC45_T2_si1946_NA.wav,the rustling problem was by no means solved,0
../DATASET/uncommonvoice/FC12_T2_si1027_NA.wav,even then if she took one step forward he could catch her,0
../DATASET/torgo/FC03/Session2/0114.wav,The prospect of cutting back spending is an unpleasant one for any governor.,0
